dx:     0	dy:     0
dx:    -1	dy:    -1
dx:    -4	dy:    -2
dx:    -7	dy:    -4
dx:   -10	dy:    -6
dx:   -12	dy:    -8
dx:   -15	dy:   -12
dx:   -17	dy:   -16
dx:   -17	dy:   -23
dx:   -17	dy:   -32
dx:   -16	dy:   -43
dx:   -11	dy:   -59
dx:    -1	dy:   -78
dx:    14	dy:  -100
dx:    27	dy:  -123
dx:    44	dy:  -150
dx:    69	dy:  -180
dx:   100	dy:  -211
dx:   130	dy:  -237
dx:   154	dy:  -259
dx:   180	dy:  -277
dx:   210	dy:  -294
dx:   240	dy:  -306
dx:   264	dy:  -311
dx:   285	dy:  -313
dx:   308	dy:  -311
dx:   330	dy:  -303
dx:   348	dy:  -288
dx:   364	dy:  -268
dx:   378	dy:  -243
dx:   389	dy:  -208
dx:   397	dy:  -163
dx:   402	dy:  -113
dx:   403	dy:   -66
dx:   401	dy:   -22
dx:   399	dy:    17
dx:   396	dy:    54
dx:   390	dy:    88
dx:   382	dy:   118
dx:   369	dy:   144
dx:   356	dy:   165
dx:   344	dy:   181
dx:   334	dy:   193
dx:   323	dy:   202
dx:   311	dy:   208
dx:   299	dy:   211
dx:   285	dy:   212
dx:   270	dy:   212
dx:   254	dy:   209
dx:   239	dy:   202
dx:   227	dy:   194
dx:   217	dy:   185
dx:   209	dy:   173
dx:   202	dy:   159
dx:   195	dy:   142
dx:   190	dy:   120
dx:   188	dy:    95
dx:   190	dy:    65
dx:   200	dy:    30
dx:   213	dy:    -4
dx:   225	dy:   -35
dx:   236	dy:   -63
dx:   240	dy:   -84
dx:   240	dy:   -97
dx:   236	dy:  -103
dx:   232	dy:  -104
dx:   228	dy:  -104
dx:   224	dy:  -104
dx:   220	dy:  -104
dx:   218	dy:  -104
dx:   217	dy:  -104
dx:   217	dy:  -104
dx:   217	dy:  -104
dx:   218	dy:  -104
dx:   218	dy:  -104
dx:   218	dy:  -103
dx:   219	dy:  -103
dx:   219	dy:  -103
dx:   219	dy:  -103
dx:   219	dy:  -103
dx:   220	dy:  -103
dx:   220	dy:  -103
dx:   220	dy:  -103
dx:   220	dy:  -103
dx:   220	dy:  -103
dx:   220	dy:  -103
dx:   220	dy:  -103
dx:   220	dy:  -103
dx:   220	dy:  -103
dx:   220	dy:  -103
dx:   220	dy:  -103
dx:   222	dy:  -104
dx:   223	dy:  -104
dx:   225	dy:  -104
dx:   225	dy:  -104
dx:   225	dy:  -104
dx:   225	dy:  -103
dx:   225	dy:  -103
dx:   225	dy:  -102
dx:   225	dy:  -102
dx:   225	dy:  -101
dx:   225	dy:  -101
dx:   225	dy:  -101
dx:   225	dy:  -101
dx:   225	dy:  -100
dx:   225	dy:  -100
dx:   225	dy:  -100
dx:   225	dy:  -100
dx:   225	dy:  -101
dx:   226	dy:  -101
dx:   226	dy:  -101
dx:   226	dy:  -101
dx:   226	dy:  -102
dx:   226	dy:  -103
dx:   225	dy:  -103
dx:   225	dy:  -103
dx:   225	dy:  -103
dx:   225	dy:  -103
dx:   225	dy:  -103
dx:   224	dy:  -103
dx:   224	dy:  -104
dx:   224	dy:  -105
dx:   224	dy:  -106
dx:   225	dy:  -107
dx:   225	dy:  -108
dx:   225	dy:  -108
dx:   225	dy:  -109
dx:   225	dy:  -109
dx:   224	dy:  -109
dx:   224	dy:  -110
dx:   224	dy:  -110
