dx:     0	dy:     0
dx:     5	dy:     2
dx:    12	dy:     4
dx:    18	dy:     6
dx:    23	dy:     8
dx:    28	dy:    10
dx:    31	dy:    12
dx:    33	dy:    15
dx:    34	dy:    19
dx:    34	dy:    23
dx:    33	dy:    28
dx:    30	dy:    33
dx:    28	dy:    38
dx:    27	dy:    43
dx:    27	dy:    49
dx:    27	dy:    57
dx:    26	dy:    65
dx:    26	dy:    76
dx:    26	dy:    87
dx:    25	dy:    99
dx:    24	dy:   111
dx:    22	dy:   122
dx:    20	dy:   134
dx:    18	dy:   147
dx:    16	dy:   160
dx:    14	dy:   170
dx:    14	dy:   177
dx:    15	dy:   182
dx:    15	dy:   185
dx:    15	dy:   188
dx:    15	dy:   190
dx:    17	dy:   192
dx:    19	dy:   194
dx:    21	dy:   197
dx:    24	dy:   200
dx:    25	dy:   201
dx:    26	dy:   202
dx:    26	dy:   202
dx:    27	dy:   200
dx:    27	dy:   195
dx:    26	dy:   189
dx:    24	dy:   180
dx:    19	dy:   170
dx:    12	dy:   158
dx:     3	dy:   146
dx:    -7	dy:   134
dx:   -18	dy:   123
dx:   -34	dy:   112
dx:   -52	dy:   101
dx:   -74	dy:    90
dx:  -102	dy:    80
dx:  -133	dy:    71
dx:  -161	dy:    66
dx:  -183	dy:    67
dx:  -204	dy:    74
dx:  -226	dy:    86
dx:  -247	dy:   104
dx:  -268	dy:   127
dx:  -289	dy:   159
dx:  -312	dy:   198
dx:  -327	dy:   236
dx:  -335	dy:   271
dx:  -339	dy:   307
dx:  -339	dy:   341
dx:  -335	dy:   370
dx:  -330	dy:   392
dx:  -326	dy:   407
dx:  -323	dy:   414
dx:  -323	dy:   416
dx:  -324	dy:   417
dx:  -325	dy:   416
dx:  -327	dy:   413
dx:  -328	dy:   411
dx:  -328	dy:   409
dx:  -328	dy:   408
dx:  -329	dy:   407
dx:  -329	dy:   406
dx:  -330	dy:   405
dx:  -330	dy:   405
dx:  -330	dy:   404
dx:  -330	dy:   403
dx:  -329	dy:   403
dx:  -329	dy:   402
dx:  -329	dy:   401
dx:  -329	dy:   401
dx:  -329	dy:   400
dx:  -330	dy:   399
dx:  -331	dy:   397
dx:  -331	dy:   396
dx:  -332	dy:   395
dx:  -332	dy:   394
dx:  -332	dy:   393
dx:  -333	dy:   392
dx:  -333	dy:   391
dx:  -333	dy:   391
dx:  -333	dy:   390
dx:  -333	dy:   390
dx:  -333	dy:   389
dx:  -333	dy:   389
dx:  -333	dy:   388
dx:  -333	dy:   388
dx:  -334	dy:   387
dx:  -334	dy:   387
